CXSMILES,Molecule Name,Set,pIC50_MERS_Mpro,pIC50_SARS2_Mpro,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1 |&1:16|,ASAP-0011206,Train,4.27,,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](n2cncn2)C1
C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,ASAP-0008669,Train,5.52,6.84,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,C[C@@H](O)CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]21 |&1:16,20|",ASAP-0029535,Train,,4.21,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]21,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CCC[C@H]21
C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,ASAP-0008663,Train,4.74,4.78,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,C[C@@H](O)CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O |&1:7|,ASAP-0010722,Train,5.06,6.75,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C/C2=C\F)c2cc(Cl)ccc2C1=O
CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1 |&1:23|,ASAP-0000221,Train,5.67,7.55,CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1,CCN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2)CC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(C(F)(F)F)C=C2C1,ASAP-0031418,Train,4.24,4.4,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(C(F)(F)F)C=C2C1,O=C(Cc1cncc2ccccc12)N1CCc2ncc(C(F)(F)F)cc2C1
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F |a:15,16,18|",ASAP-0029403,Train,,4.96,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F,O=C(Cc1cncc2ccccc12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1 |&1:21|,ASAP-0012343,Train,4.99,4.55,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1,O=C(Cc1cncc2ccccc12)N1Cc2ccccc2[C@H](c2ccccc2)C1
CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0013715,Train,5.77,4.55,CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,CCC(=O)Nc1cccc(N(Cc2ccccc2)C(=O)Cc2cncc3ccccc23)c1
"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|",ASAP-0029469,Train,7.34,7.62,CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1,Cc1nnc(NC[C@H]2CN(c3cncc4ccccc34)C(=O)[C@@]23CN(Cc2cc[nH]n2)C(=O)c2ccc(Cl)cc23)s1
O=C(O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:13|,ASAP-0000187,Train,3.94,5.01,O=C(O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,O=C(O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1
O=C1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2N1 |&1:3|,ASAP-0000647,Train,3.78,4.65,O=C1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2N1,O=C1C[C@H](C(=O)Nc2cncc3ccccc23)c2ccccc2N1
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|,ASAP-0030878,Train,4.7,5.23,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CO[C@]1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C(F)(F)C(F)(F)C1,ASAP-0029527,Train,,4.25,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C(F)(F)C(F)(F)C1,O=C(Cc1cncc2ccccc12)N1CC(F)(F)C(F)(F)C(F)(F)C1
O=C1C[C@H](CC2=CC=CC=C2)NN1C1=CN=CC2=CC=CC=C12 |&1:3|,ASAP-0000581,Train,4.31,5.16,O=C1C[C@H](CC2=CC=CC=C2)NN1C1=CN=CC2=CC=CC=C12,O=C1C[C@H](Cc2ccccc2)NN1c1cncc2ccccc12
O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12,ASAP-0000811,Train,4.32,4.46,O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12,O=C(NCc1cc2c(nc1O)CCCC2)c1cncc2ccccc12
O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12,ASAP-0000805,Train,4.26,4.09,O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12,O=C(NCCC(=O)N1CCCCC1)c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1,ASAP-0011498,Train,4.22,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1,O=C(Cc1cncc2ccccc12)N1CCC(Cc2ccccn2)CC1
O=C1N[C@]2(C[C@@H](C3=C(Cl)C=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,ASAP-0000153,Train,6.5,7.84,O=C1N[C@]2(C[C@@H](C3=C(Cl)C=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,O=C1N[C@]2(C[C@@H](c3ccccc3Cl)C2)C(=O)N1c1cncc2ccccc12
CCC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|,ASAP-0000215,Train,6.03,6.99,CCC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,CCc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@@H]1CC1=CC=CC=C1,ASAP-0000532,Train,,4.06,CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@@H]1CC1=CC=CC=C1,CN1C(=O)N(c2cncc3ccccc23)C(=O)[C@@H]1Cc1ccccc1
COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|,ASAP-0030943,Train,4.05,5.28,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1,COc1cccc(C[C@H]2CCCN2C(=O)Cc2cncc3ccccc23)c1
N#CC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,ASAP-0008359,Train,5.69,4.89,N#CC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,N#Cc1ccc(N(Cc2ccccc2)C(=O)Cc2cncc3ccccc23)cc1
CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:6|,ASAP-0029434,Train,,4.25,CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1,CCc1cc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)on1
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",ASAP-0029363,Train,5.64,5.89,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12
CC[C@H](C)OC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|,ASAP-0029695,Train,,4.33,CC[C@H](C)OC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,CC[C@H](C)OC1CCN(C(=O)Cc2cncc3ccccc23)CC1
N=C(N)NCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,ASAP-0008470,Train,4.2,5.13,N=C(N)NCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,N=C(N)NCc1ccc(OC(=O)Nc2ccccc2)cc1
CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)CC1=CC=CC=C1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,ASAP-0008269,Train,4.7,4.2,CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)CC1=CC=CC=C1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)Cc1ccccc1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O
"C[C@H]1CC[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]2C1 |&1:1,&2:4,&3:22|",ASAP-0008384,Train,4.27,4.92,C[C@H]1CC[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]2C1,C[C@H]1CC[C@H]2CCCN(C(=O)Cc3cncc4ccccc34)[C@H]2C1
O=C(NCCN1C(=O)CC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,ASAP-0000818,Train,4.21,,O=C(NCCN1C(=O)CC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,O=C(NCCN1C(=O)Cc2ccccc21)c1cncc2ccccc12
C[C@H](C1=CC=CC=C1)N(C(=O)CC1=CN=CC2=CC=CC=C12)C1CCN(C)CC1,ASAP-0008501,Train,4.28,4.7,C[C@H](C1=CC=CC=C1)N(C(=O)CC1=CN=CC2=CC=CC=C12)C1CCN(C)CC1,C[C@H](c1ccccc1)N(C(=O)Cc1cncc2ccccc12)C1CCN(C)CC1
O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,ASAP-0011338,Train,5.59,6.44,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O,O=C1Nc2ccc(Cl)cc2[C@]12CCN(c1cncc3ccccc13)C2=O
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=NC=C(C(F)(F)F)C=C1,ASAP-0012168,Train,,6.53,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=NC=C(C(F)(F)F)C=C1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(C(F)(F)F)cn1
"CC[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",ASAP-0031834,Train,5.59,5.64,CC[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,CC[C@@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCC2)CC1,ASAP-0029653,Train,5.14,5.85,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCC2)CC1,O=C(Cc1cncc2ccccc12)N1CCC2(CCC2)CC1
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|",ASAP-0013832,Train,5.55,6.94,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC(C)C)c2cc(Cl)ccc2C1=O
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008331,Train,4.25,6.92,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1CC1=CC=CC(Cl)=C1,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1Cc1cccc(Cl)c1
"C[C@H]1[C@@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |&1:1,2,20|",ASAP-0029680,Train,5.34,5.58,C[C@H]1[C@@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12,C[C@@H]1[C@H]2CN(C(=O)Cc3cncc4ccccc34)CC[C@@H]12
"CO[C@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:2,4|",ASAP-0031852,Train,4.17,,CO[C@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CO[C@H]1C[C@H](O)CN(C(=O)Cc2cncc3ccccc23)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,ASAP-0030703,Train,4.53,5.54,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1,O=C(Cc1cncc2ccccc12)N1CC[C@]2(CCCc3ccccc32)C1
"C[C@H]1[C@@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |a:1,2,19|",ASAP-0029576,Train,,5.0,C[C@H]1[C@@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12,C[C@@H]1[C@H]2CN(C(=O)Cc3cncc4ccccc34)C[C@@H]12
O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1,ASAP-0008624,Train,4.29,4.0,O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1,O=C(Cc1cncc2ccccc12)Nc1ccccc1
CN1N=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:7|,ASAP-0029848,Train,4.36,4.12,CN1N=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,Cn1nccc1C[C@H]1CCCN1C(=O)Cc1cncc2ccccc12
CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,ASAP-0029485,Train,,4.17,CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1,Cc1csc(C[C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)n1
N#CC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C1,ASAP-0029925,Train,,4.06,N#CC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C1,N#CC1CC2(CCN(C(=O)Cc3cncc4ccccc34)C2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21,ASAP-0008366,Train,4.74,4.68,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21,O=C(Cc1cncc2ccccc12)N1CCCc2ccccc21
CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000794,Train,4.16,4.25,CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12,Cn1ncc(C2CCC2)c1CNC(=O)c1cncc2ccccc12
CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2,ASAP-0000809,Train,3.66,4.87,CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2,Cc1cccc2[nH]c(CNC(=O)c3cncc4ccccc34)cc12
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC |&1:20|,ASAP-0000207,Train,5.72,6.94,COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC,COc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1OC
C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1 |&1:3|,ASAP-0027971,Train,4.43,4.43,C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1,C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(CN)c1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2 |&1:16,&2:19|",ASAP-0031123,Train,4.81,4.67,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CC[C@H]1C2
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1 |&1:19|,ASAP-0011467,Train,5.11,4.55,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1,O=C(Cc1cncc2ccccc12)N1CC(F)(F)C[C@H]1c1ccccc1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Br)=C1 |&1:12|,ASAP-0000155,Train,4.84,7.35,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Br)=C1,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cccc(Br)c1
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1 |&1:15,22|",ASAP-0029776,Train,,4.04,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1,O=C(Cc1cncc2ccccc12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1,ASAP-0011892,Train,9.0,,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N(Cc1ccccc1)[C@H]1CCS(=O)(=O)C1
"C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3|",ASAP-0029598,Train,5.56,5.93,C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12
"N#CC1[C@H]2CC[C@H]1CN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:3,&2:6|",ASAP-0029884,Train,,4.86,N#CC1[C@H]2CC[C@H]1CN(C(=O)CC1=CN=CC3=CC=CC=C13)C2,N#CC1[C@H]2CC[C@H]1CN(C(=O)Cc1cncc3ccccc13)C2
O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000711,Train,4.95,4.66,O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,O=C(Cc1cccc(F)c1F)Nc1cncc2ccccc12
CNC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0031815,Train,4.64,5.36,CNC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,CNC(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12
CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:4|,ASAP-0000657,Train,3.95,4.91,CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1,CC(F)(F)[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1
COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,ASAP-0013646,Train,,5.04,COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,COc1ccc(C(=O)Nc2cccc(/C=C3/C(=O)NC(=O)c4ccccc43)c2)cc1
"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)O1 |a:7,22|",ASAP-0031001,Train,6.93,7.68,CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)O1,Cc1nnc(NC[C@H]2CN(c3cncc4ccccc34)C(=O)[C@@]23CN(Cc2cc[nH]n2)C(=O)c2ccc(Cl)cc23)o1
C[C@H]1C2=CC=CN=C2CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,ASAP-0031463,Train,4.28,4.34,C[C@H]1C2=CC=CN=C2CCN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12
CC(C)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,ASAP-0031878,Train,4.46,5.31,CC(C)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,CC(C)CC1CCN(C(=O)Cc2cncc3ccccc23)CC1
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",ASAP-0017447,Train,6.39,7.26,CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COCC2CS(=O)(=O)C2)c2cc(Cl)ccc2C1=O
O=C(CC1=C(Cl)C(Cl)=CC=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000643,Train,5.03,,O=C(CC1=C(Cl)C(Cl)=CC=C1)NC1=CN=CC2=CC=CC=C12,O=C(Cc1cccc(Cl)c1Cl)Nc1cncc2ccccc12
"C[C@H]1CCC[C@H](CCN(C)C)N1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:5|",ASAP-0029490,Train,,4.24,C[C@H]1CCC[C@H](CCN(C)C)N1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1CCC[C@H](CCN(C)C)N1C(=O)Cc1cncc2ccccc12
CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1 |&1:23|,ASAP-0000209,Train,5.64,7.12,CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1,Cc1ccc2[nH]cc(CCNC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)c2c1
CC1=CSC(N2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)=N1,ASAP-0011391,Train,4.28,,CC1=CSC(N2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)=N1,Cc1csc(N2CCCN(C(=O)Cc3cncc4ccccc34)CC2)n1
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|,ASAP-0008585,Train,3.83,4.34,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(CO)ccc2C1=O
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1 |&1:25|,ASAP-0011280,Train,4.44,4.84,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1,O=C(Cc1cncc2ccccc12)N1CCCN2c3ccccc3C[C@H]2C1
CCOC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:4|,ASAP-0000149,Train,8.16,,CCOC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C,CCOC[C@]1(C)C(=O)N(c2cncc3ccccc23)C(=O)N1C
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=NC=N1 |&1:17|,ASAP-0011396,Train,4.36,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=NC=N1,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1Cn1cncn1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOC2)CC1,ASAP-0029662,Train,,4.97,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOC2)CC1,O=C(Cc1cncc2ccccc12)N1CCC2(CCOC2)CC1
