CXSMILES,HLM,KSOL,LogD,MDR1-MDCKII,MLM,Molecule Name,Set,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES,LOG_CLint_HLM,LOG_CLint_MLM,LOG_MDR1,LOG_KSOL
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN=CS2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",39.0,397.0,1.8,0.6,77.0,ASAP-0013892,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN=CS2)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cncs2)c2cc(Cl)ccc2C1=O,1.591064607026499,1.8864907251724818,-0.2218487496163564,2.598790506763115
NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,,89.0,2.7,2.11,,ASAP-0016806,Train,NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,NCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,,,0.3242824552976926,1.9493900066449128
CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,42.6,208.0,2.6,34.4,281.0,ASAP-0020843,Train,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,CN(C)C(=O)c1cc(CCCOc2ccc(F)cc2)on1,1.6294095991027189,2.44870631990508,1.5365584425715302,2.3180633349627615
CN1C(SC2=CC(C3=NOC=C3)=NC3=NC=NN23)=NN=C1C1=CC=C(Cl)C=C1,,8.0,2.0,0.392,,ASAP-0023443,Train,CN1C(SC2=CC(C3=NOC=C3)=NC3=NC=NN23)=NN=C1C1=CC=C(Cl)C=C1,Cn1c(Sc2cc(-c3ccon3)nc3ncnn23)nnc1-c1ccc(Cl)cc1,,,-0.4067139329795427,0.9030899869919435
CNC(=O)[C@H](NC1=CC(CN)=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,352.0,1.5,0.302,,ASAP-0028903,Train,CNC(=O)[C@H](NC1=CC(CN)=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(C2CC2)=C1,CNC(=O)[C@H](Nc1cc(CN)cc(-c2nn[nH]n2)c1)c1cc(Cl)cc(C2CC2)c1,,,-0.5199930570428494,2.546542663478131
CNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12 |&1:13|,131.0,390.0,2.5,2.23,192.0,ASAP-0008641,Train,CNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12,CNC(=O)c1c[nH]c2ncnc(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,2.1172712956557644,2.2833012287035497,0.34830486304816066,2.591064607026499
CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,11.0,396.0,1.4,0.175,1.0,ASAP-0012334,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.0413926851582251,0.0,-0.7569619513137056,2.597695185925512
O=C1NC(=O)[C@H](CC2=CC=CC(Cl)=C2)C2=CC=CC=C12 |&1:5|,170.0,291.0,,8.65,16.7,ASAP-0016664,Train,O=C1NC(=O)[C@H](CC2=CC=CC(Cl)=C2)C2=CC=CC=C12,O=C1NC(=O)[C@H](Cc2cccc(Cl)c2)c2ccccc21,2.230448921378274,1.2227164711475833,0.9370161074648142,2.4638929889859074
"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12 |a:2,7,9,10|",,,,13.9,,ASAP-0000769,Train,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,,1.1430148002540952,
CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,20.0,392.0,1.6,2.94,11.0,ASAP-0011198,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.3010299956639813,1.0413926851582251,0.46834733041215726,2.593286067020457
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,74.0,17.0,3.0,4.2,218.0,ASAP-0008275,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,1.8692317197309762,2.3384564936046046,0.6232492903979004,1.2304489213782739
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(F)C=C12,293.0,370.0,1.9,2.7,832.0,ASAP-0011059,Train,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(F)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)c1ccc(F)cc12,2.4668676203541096,2.920123326290724,0.43136376415898736,2.568201724066995
NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2CCCCC2)=C1 |&1:10|,5.29,,2.0,1.58,,ASAP-0016121,Train,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2CCCCC2)=C1,NCc1cccc(NC(=O)[C@H](NC(=O)OCc2ccccc2)C2CCCCC2)c1,0.7234556720351858,,0.19865708695442263,
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOCC1)C(=O)C1=CC=C(Cl)C=C12,172.0,385.0,1.8,19.3,368.0,ASAP-0011513,Train,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOCC1)C(=O)C1=CC=C(Cl)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOCC1)C(=O)c1ccc(Cl)cc12,2.2355284469075487,2.5658478186735176,1.2855573090077739,2.5854607295085006
CC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1CN,,,,0.0873,,ASAP-0021119,Train,CC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1CN,Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CN,,,-1.0589857562944303,
O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(C3=NN=NN3)=C2)=C1)OCC1=CC=CC=C1,,65.0,3.7,5.06,,ASAP-0023270,Train,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(C3=NN=NN3)=C2)=C1)OCC1=CC=CC=C1,O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)c1)OCc1ccccc1,,,0.7041505168397991,1.8129133566428555
C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,290.0,4.0,2.1,0.14,624.0,ASAP-0027763,Train,C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,c1ccc(-c2cc(Sc3nnc(N4CCOCC4)s3)n3ncnc3n2)cc1,2.462397997898956,2.795184589682424,-0.8538719643217619,0.6020599913279624
CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NN=CO1,,21.0,4.0,12.1,12.9,ASAP-0017440,Train,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NN=CO1,Cc1cc(-c2noc(C(F)(F)F)n2)ccc1OCCCc1nnco1,,1.110589710299249,1.08278537031645,1.3222192947339193
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1 |o1:3|,18.0,395.0,2.4,0.47,9.0,ASAP-0012315,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,1.255272505103306,0.9542425094393249,-0.3279021420642826,2.59659709562646
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1 |&1:9|,79.0,380.0,2.76,1.96,55.0,ASAP-0008348,Train,CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1,CNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,1.8976270912904414,1.7403626894942439,0.292256071356476,2.57978359661681
CN1N=CC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,,392.0,1.0,4.66,,ASAP-0029092,Train,CN1N=CC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,Cn1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Br)cc21,,,0.6683859166900001,2.593286067020457
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=C(Cl)C=C12,364.0,375.0,2.0,0.844,365.0,ASAP-0000774,Train,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=C(Cl)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCc1ccnn1C)C(=O)c1ccc(Cl)cc12,2.561101383649056,2.5622928644564746,-0.07365755337434496,2.574031267727719
"CC1=NOC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=C1 |a:8,23|",80.0,392.0,2.1,12.5,240.0,ASAP-0013722,Train,CC1=NOC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=C1,Cc1cc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)on1,1.9030899869919435,2.380211241711606,1.0969100130080565,2.593286067020457
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,141.0,94.0,3.3,1.73,155.0,ASAP-0008678,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,2.1492191126553797,2.1903316981702914,0.2380461031287954,1.9731278535996986
NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |&1:11|,17.0,17.0,,1.04,,ASAP-0016554,Train,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,NCc1cccc(NC(=O)C[C@H](NC(=O)OCc2ccccc2)c2ccc(OCc3ccccc3)cc2)c1,1.2304489213782739,,0.01703333929878037,1.2304489213782739
CCC1=C(C2=CC=C(Cl)C=C2)SC(C(=O)NC2=CC=CC(CN)=C2)=C1,,7.0,4.3,0.995,,ASAP-0022528,Train,CCC1=C(C2=CC=C(Cl)C=C2)SC(C(=O)NC2=CC=CC(CN)=C2)=C1,CCc1cc(C(=O)Nc2cccc(CN)c2)sc1-c1ccc(Cl)cc1,,,-0.002176919254274547,0.8450980400142568
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1 |o1:3|,52.0,19.0,3.4,2.35,147.0,ASAP-0013256,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,1.7160033436347992,2.167317334748176,0.37106786227173627,1.2787536009528289
CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1 |&1:4|,36.0,48.0,2.7,0.822,31.0,ASAP-0008648,Train,CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1,CC(C)(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,1.5563025007672873,1.4913616938342726,-0.08512818245994963,1.6812412373755872
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,57.0,374.0,2.7,5.5,207.0,ASAP-0008674,Train,CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.7558748556724915,2.315970345456918,0.7403626894942439,2.5728716022004803
O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,36.3,184.0,0.7,1.62,553.0,ASAP-0031004,Train,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,1.5599066250361124,2.7427251313046983,0.20951501454263097,2.2648178230095364
CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)C=N1 |o1:13|,92.0,323.0,2.4,0.396,111.0,ASAP-0011171,Train,CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)C=N1,CNC(=O)Cn1cc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,1.9637878273455553,2.0453229787866576,-0.40230481407448765,2.509202522331103
CC(C)[C@H](NC1=NC=NC2=C1C(C(=O)NC1CC1)=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,29.0,257.0,3.1,2.46,234.0,ASAP-0008647,Train,CC(C)[C@H](NC1=NC=NC2=C1C(C(=O)NC1CC1)=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,1.462397997898956,2.369215857410143,0.39093510710337914,2.4099331233312946
CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1 |o1:10|,1330.0,13.0,3.6,2.9,72.0,ASAP-0013827,Train,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,3.123851640967086,1.8573324964312685,0.4623979978989561,1.1139433523068367
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=N1 |o1:3|,137.0,28.0,3.7,9.35,131.0,ASAP-0011177,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=N1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,2.1367205671564067,2.1172712956557644,0.9708116108725178,1.4471580313422192
CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)C=N1 |&1:13|,94.0,306.0,2.4,0.47,77.0,ASAP-0010723,Train,CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)C=N1,CNC(=O)Cn1cc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,1.9731278535996986,1.8864907251724818,-0.3279021420642826,2.48572142648158
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,12.8,,3.6,0.0942,43.8,ASAP-0029352,Train,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,1.1072099696478683,1.6414741105040995,-1.0259490972071226,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1,,371.0,,4.78,,ASAP-0029319,Train,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1,O=C(Cc1cncc2ccccc12)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,,,0.6794278966121189,2.569373909615046
"C[C@H](C(=O)O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |o1:1,5|",3.0,358.0,0.6,0.682,4.0,ASAP-0014722,Train,C[C@H](C(=O)O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1,C[C@H](C(=O)O)[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,0.47712125471966244,0.6020599913279624,-0.16621562534352105,2.5538830266438746
O=C(NC1=CC2=C(CNC2)C(C2=CCS(=O)(=O)CC2)=C1)C1=CC(F)=CC2=C1C=NN2,,141.0,-0.1,1.3,96.9,ASAP-0031155,Train,O=C(NC1=CC2=C(CNC2)C(C2=CCS(=O)(=O)CC2)=C1)C1=CC(F)=CC2=C1C=NN2,O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,,1.9863237770507653,0.11394335230683679,2.1492191126553797
CN1C=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1 |o1:8|,26.0,,1.6,3.2,51.0,ASAP-0013308,Train,CN1C=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,Cn1cnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,1.414973347970818,1.7075701760979363,0.505149978319906,
CN(C)C(=O)C1=NOC(CCCOC2=CC=C(CCC3CCNCC3)C=C2)=C1,,398.0,0.5,12.8,29.4,ASAP-0020818,Train,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(CCC3CCNCC3)C=C2)=C1,CN(C)C(=O)c1cc(CCCOc2ccc(CCC3CCNCC3)cc2)on1,,1.4683473304121573,1.1072099696478683,2.5998830720736876
COC1=CC=C(CNC(=O)NC2=CNC(=O)C3=CC=NC=C23)C=N1,,311.0,0.7,1.31,,ASAP-0016164,Train,COC1=CC=C(CNC(=O)NC2=CNC(=O)C3=CC=NC=C23)C=N1,COc1ccc(CNC(=O)Nc2c[nH]c(=O)c3ccncc23)cn1,,,0.11727129565576427,2.4927603890268375
O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,216.0,,,,386.0,ASAP-0000691,Train,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2.3344537511509307,2.586587304671755,,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |&1:16|,,382.0,,19.2,,ASAP-0029271,Train,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@]2(CC=CCO2)C1,,,1.2833012287035497,2.582063362911709
CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1,47.0,20.0,3.4,5.11,129.0,ASAP-0011033,Train,CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,1.6720978579357175,2.110589710299249,0.7084209001347127,1.3010299956639813
C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,,350.0,,15.7,,ASAP-0029342,Train,C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,C[C@]1(c2ccccc2)CCCN(C(=O)Cc2cncc3ccccc23)C1,,,1.1958996524092338,2.5440680443502757
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1 |o1:9|,682.0,397.0,2.4,0.377,23.0,ASAP-0012346,Train,CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,CNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,2.833784374656479,1.3617278360175928,-0.42365864979420714,2.598790506763115
NC(=O)[C@H]1CCCN(C(=O)CC2=CC=CC3=C2C=CO3)C1 |&1:3|,,376.0,1.0,8.5,,ASAP-0031848,Train,NC(=O)[C@H]1CCCN(C(=O)CC2=CC=CC3=C2C=CO3)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,,,0.9294189257142927,2.575187844927661
CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1 |o1:10|,109.0,337.0,2.7,0.717,64.0,ASAP-0012325,Train,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,2.037426497940624,1.806179973983887,-0.1444808443321999,2.5276299008713385
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,37.0,385.0,2.5,3.3,138.0,ASAP-0008327,Train,CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.568201724066995,2.1398790864012365,0.5185139398778874,2.5854607295085006
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCC(=O)NC4=C3)C(C)C)N=CN=C2N1 |o1:9|,175.0,380.0,2.9,1.21,33.0,ASAP-0011219,Train,CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCC(=O)NC4=C3)C(C)C)N=CN=C2N1,CNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,2.2430380486862944,1.5185139398778875,0.08278537031645007,2.57978359661681
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=N1 |o1:3|,369.0,50.0,3.9,14.6,371.0,ASAP-0010716,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=N1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,2.56702636615906,2.569373909615046,1.1643528557844371,1.6989700043360187
CC(C)CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,198.0,4.0,,2.39,,ASAP-0016818,Train,CC(C)CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,CC(C)CNC(=O)c1cc(Cl)c(F)cc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,2.296665190261531,,0.3783979009481377,0.6020599913279624
NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C(Br)=C2)=C1 |&1:11|,12.4,21.0,,0.783,,ASAP-0017583,Train,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C(Br)=C2)=C1,NCc1cccc(NC(=O)C[C@H](NC(=O)OCc2ccccc2)c2ccc(OCc3ccccc3)c(Br)c2)c1,1.0934216851622351,,-0.10623823794205658,1.3222192947339193
O=C(C[C@H]1CCN2C=NC=C2C1)NC1=CC=CC(B(O)O)=C1 |&1:3|,8.0,,1.1,3.6,6.0,ASAP-0014813,Train,O=C(C[C@H]1CCN2C=NC=C2C1)NC1=CC=CC(B(O)O)=C1,O=C(C[C@H]1CCn2cncc2C1)Nc1cccc(B(O)O)c1,0.9030899869919435,0.7781512503836436,0.5563025007672873,
COC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,,6.0,4.1,0.0142,,ASAP-0023516,Train,COC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,COc1cccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)c1,,,-1.8477116556169435,0.7781512503836436
CC1=NC=CN1C[C@H](C)CNC(=O)C1=CC=C2COB(O)C2=C1 |&1:7|,1.0,,0.2,1.3,12.0,ASAP-0014807,Train,CC1=NC=CN1C[C@H](C)CNC(=O)C1=CC=C2COB(O)C2=C1,Cc1nccn1C[C@H](C)CNC(=O)c1ccc2c(c1)B(O)OC2,0.0,1.0791812460476249,0.11394335230683679,
